Date,Open,High,Low,Close,Adj Close,Volume
22-03-2017,139.85,141.60,139.76,141.42,139.22,25860200
23-03-2017,141.26,141.58,140.61,140.92,138.73,20346300
24-03-2017,141.50,141.74,140.35,140.64,138.45,22395600
27-03-2017,139.39,141.22,138.62,140.88,138.69,23575100
28-03-2017,140.91,144.04,140.62,143.80,141.56,33374800
29-03-2017,143.68,144.49,143.19,144.12,141.88,29190000
30-03-2017,144.19,144.50,143.50,143.93,141.69,21207300
31-03-2017,143.72,144.27,143.01,143.66,141.42,19661700
03-04-2017,143.71,144.12,143.05,143.70,141.46,19985700
04-04-2017,143.25,144.89,143.17,144.77,142.52,19891400
05-04-2017,144.22,145.46,143.81,144.02,141.78,27717900
06-04-2017,144.29,144.52,143.45,143.66,141.42,21149000
07-04-2017,143.73,144.18,143.27,143.34,141.11,16672200
10-04-2017,143.60,143.88,142.90,143.17,140.94,18933400
11-04-2017,142.94,143.35,140.06,141.63,139.42,30379400
12-04-2017,141.60,142.15,141.01,141.80,139.59,20350000
13-04-2017,141.91,142.38,141.05,141.05,138.85,17822900
17-04-2017,141.48,141.88,140.87,141.83,139.62,16582100
18-04-2017,141.41,142.04,141.11,141.20,139.00,14697500
19-04-2017,141.88,142.00,140.45,140.68,138.49,17328400
20-04-2017,141.22,142.92,141.16,142.44,140.22,23319600
21-04-2017,142.44,142.68,141.85,142.27,140.05,17320900
24-04-2017,143.50,143.95,143.18,143.64,141.40,17134300
25-04-2017,143.91,144.90,143.87,144.53,142.28,18871500
26-04-2017,144.47,144.60,143.38,143.68,141.44,20041200
27-04-2017,143.92,144.16,143.31,143.79,141.55,14246300
28-04-2017,144.09,144.30,143.27,143.65,141.41,20860400
01-05-2017,145.10,147.20,144.96,146.58,144.30,33602900
02-05-2017,147.54,148.09,146.84,147.51,145.21,45352200
03-05-2017,145.59,147.49,144.27,147.06,144.77,45697000
04-05-2017,146.52,147.14,145.81,146.53,144.25,23371900
05-05-2017,146.76,148.98,146.76,148.96,146.64,27327700
08-05-2017,149.03,153.70,149.03,153.01,150.63,48752400
09-05-2017,153.87,154.88,153.45,153.99,151.59,39130400
10-05-2017,153.63,153.94,152.11,153.26,150.87,25805700
11-05-2017,152.45,154.07,152.31,153.95,152.18,27255100
12-05-2017,154.70,156.42,154.67,156.10,154.30,32527000
15-05-2017,156.01,156.65,155.05,155.70,153.91,26009700
16-05-2017,155.94,156.06,154.72,155.47,153.68,20048500
17-05-2017,153.60,154.57,149.71,150.25,148.52,50767700
18-05-2017,151.27,153.34,151.13,152.54,150.78,33568200
19-05-2017,153.38,153.98,152.63,153.06,151.30,26960800
22-05-2017,154.00,154.58,152.91,153.99,152.22,22966400
23-05-2017,154.90,154.90,153.31,153.80,152.03,19918900
24-05-2017,153.84,154.17,152.67,153.34,151.58,19178000
25-05-2017,153.73,154.35,153.03,153.87,152.10,19235600
26-05-2017,154.00,154.24,153.31,153.61,151.84,21701100
30-05-2017,153.42,154.43,153.33,153.67,151.90,20126900
31-05-2017,153.97,154.17,152.38,152.76,151.00,24451200
01-06-2017,153.17,153.33,152.22,153.18,151.42,16404100
02-06-2017,153.58,155.45,152.89,155.45,153.66,27770700
05-06-2017,154.34,154.45,153.46,153.93,152.16,25331700
06-06-2017,153.90,155.81,153.78,154.45,152.67,26624900
07-06-2017,155.02,155.98,154.48,155.37,153.58,21069600
08-06-2017,155.25,155.54,154.40,154.99,153.21,21250800
09-06-2017,155.19,155.19,146.02,148.98,147.27,64882700
12-06-2017,145.74,146.09,142.51,145.42,143.75,72307300
13-06-2017,147.16,147.45,145.15,146.59,144.90,34165400
14-06-2017,147.50,147.50,143.84,145.16,143.49,31531200
15-06-2017,143.32,144.48,142.21,144.29,142.63,32165400
16-06-2017,143.78,144.50,142.20,142.27,140.63,50361100
19-06-2017,143.66,146.74,143.66,146.34,144.66,32541400
20-06-2017,146.87,146.87,144.94,145.01,143.34,24900100
21-06-2017,145.52,146.07,144.61,145.87,144.19,21265800
22-06-2017,145.77,146.70,145.12,145.63,143.95,19106300
23-06-2017,145.13,147.16,145.11,146.28,144.60,35439400
26-06-2017,147.17,148.28,145.38,145.82,144.14,25692400
27-06-2017,145.01,146.16,143.62,143.73,142.08,24761900
28-06-2017,144.49,146.11,143.16,145.83,144.15,22082400
29-06-2017,144.71,145.13,142.28,143.68,142.03,31499400
30-06-2017,144.45,144.96,143.78,144.02,142.36,23024100
03-07-2017,144.88,145.30,143.10,143.50,141.85,14258300
