Date,Open,High,Low,Close,Adj Close,Volume
22-03-2017,78.30,78.94,77.84,78.83,76.32,3026800
23-03-2017,78.57,79.19,78.43,78.48,75.98,2211800
24-03-2017,78.42,78.67,77.12,77.27,74.81,2359700
27-03-2017,76.97,77.79,76.66,77.25,74.79,2089300
28-03-2017,77.41,78.11,77.08,77.92,75.44,2388500
29-03-2017,77.81,78.50,77.54,78.32,75.83,2282000
30-03-2017,78.38,78.85,77.94,78.59,76.09,3241500
31-03-2017,78.49,79.43,78.41,79.22,76.70,2744100
03-04-2017,79.09,79.22,78.00,78.29,75.80,1711600
04-04-2017,78.50,78.55,77.67,78.43,75.93,1368100
05-04-2017,78.74,79.48,77.53,77.57,75.10,2867200
06-04-2017,77.59,77.65,76.65,76.88,74.43,3322400
07-04-2017,76.96,77.66,76.53,77.15,74.69,2484300
10-04-2017,77.51,78.65,77.50,78.05,75.57,2503900
11-04-2017,77.81,77.97,77.15,77.88,75.40,2042900
12-04-2017,78.13,78.26,77.26,77.38,74.92,2006100
13-04-2017,77.26,77.69,76.46,76.67,74.23,2606600
17-04-2017,76.66,77.01,76.57,77.01,74.56,1548800
18-04-2017,76.65,76.99,75.64,75.93,73.51,2326300
19-04-2017,75.94,76.15,75.14,75.33,72.93,2511300
20-04-2017,75.50,76.37,75.33,75.75,73.34,1682300
21-04-2017,75.60,76.59,75.60,76.35,73.92,2561100
24-04-2017,77.12,77.59,76.74,77.51,75.04,2483300
25-04-2017,77.60,78.18,77.25,78.08,75.60,2632800
26-04-2017,77.93,78.89,77.66,78.11,75.62,2977500
27-04-2017,78.01,78.13,76.93,78.05,75.57,3001200
28-04-2017,79.60,80.94,79.07,79.56,77.03,5252400
01-05-2017,79.52,80.35,79.32,79.56,77.03,2632700
02-05-2017,79.93,80.07,79.06,79.26,76.74,2202900
03-05-2017,78.91,79.75,78.74,79.59,77.06,1946200
04-05-2017,79.30,79.30,78.00,78.24,75.75,2163800
05-05-2017,78.33,79.43,78.32,79.35,76.82,1764000
08-05-2017,79.07,79.73,78.79,79.64,77.11,1867800
09-05-2017,79.54,80.11,79.38,79.60,77.07,1455800
10-05-2017,79.77,80.04,79.46,79.75,77.21,1690500
11-05-2017,79.90,80.02,79.21,79.52,76.99,1440400
12-05-2017,79.47,79.98,79.30,79.79,77.25,1439900
15-05-2017,80.29,80.68,79.83,80.12,77.57,1725800
16-05-2017,79.44,79.47,78.22,78.54,76.71,2011800
