Date,Open,High,Low,Close,Adj Close,Volume
16-03-2017,849.03,850.85,846.13,848.78,848.78,977600
17-03-2017,851.61,853.40,847.11,852.12,852.12,1712300
20-03-2017,850.01,850.22,845.15,848.40,848.40,1231500
21-03-2017,851.40,853.50,829.02,830.46,830.46,2463500
22-03-2017,831.91,835.55,827.18,829.59,829.59,1401500
23-03-2017,821.00,822.57,812.26,817.58,817.58,3487100
24-03-2017,820.08,821.93,808.89,814.43,814.43,1981000
27-03-2017,806.95,821.63,803.37,819.51,819.51,1894300
28-03-2017,820.41,825.99,814.03,820.92,820.92,1620500
29-03-2017,825.00,832.77,822.38,831.41,831.41,1786300
30-03-2017,833.50,833.68,829.00,831.50,831.50,1055300
31-03-2017,828.97,831.64,827.39,829.56,829.56,1401900
03-04-2017,829.22,840.85,829.22,838.55,838.55,1671500
04-04-2017,831.36,835.18,829.04,834.57,834.57,1045400
05-04-2017,835.51,842.45,830.72,831.41,831.41,1555300
06-04-2017,832.40,836.39,826.46,827.88,827.88,1254400
07-04-2017,827.96,828.48,820.51,824.67,824.67,1057300
10-04-2017,825.39,829.35,823.77,824.73,824.73,978900
11-04-2017,824.71,827.43,817.02,823.35,823.35,1079700
12-04-2017,821.93,826.66,821.02,824.32,824.32,900500
13-04-2017,822.14,826.38,821.44,823.56,823.56,1122400
17-04-2017,825.01,837.75,824.47,837.17,837.17,895000
18-04-2017,834.22,838.93,832.71,836.82,836.82,836700
19-04-2017,839.79,842.22,836.29,838.21,838.21,954200
20-04-2017,841.44,845.20,839.32,841.65,841.65,959000
21-04-2017,842.88,843.88,840.60,843.19,843.19,1323600
24-04-2017,851.20,863.45,849.86,862.76,862.76,1372500
25-04-2017,865.00,875.00,862.81,872.30,872.30,1672000
26-04-2017,874.23,876.05,867.75,871.73,871.73,1237200
27-04-2017,873.60,875.40,870.38,874.25,874.25,2026800
28-04-2017,910.66,916.85,905.77,905.96,905.96,3219500
01-05-2017,901.94,915.68,901.45,912.57,912.57,2116000
02-05-2017,909.62,920.77,909.45,916.44,916.44,1587200
03-05-2017,914.86,928.10,912.54,927.04,927.04,1499500
04-05-2017,926.07,935.93,924.59,931.66,931.66,1422100
05-05-2017,933.54,934.90,925.20,927.13,927.13,1911300
08-05-2017,926.12,936.92,925.26,934.30,934.30,1329800
09-05-2017,936.95,937.50,929.53,932.17,932.17,1581800
10-05-2017,931.98,932.00,925.16,928.78,928.78,1173900
11-05-2017,925.32,932.53,923.03,930.60,930.60,835000
12-05-2017,931.53,933.44,927.85,932.22,932.22,1050600
15-05-2017,932.95,938.25,929.34,937.08,937.08,1108100
16-05-2017,940.00,943.11,937.58,943.00,943.00,969500
17-05-2017,935.67,939.33,918.14,919.62,919.62,2362100
18-05-2017,921.00,933.17,918.75,930.24,930.24,1596900
19-05-2017,931.47,937.76,931.00,934.01,934.01,1393000
22-05-2017,935.00,941.88,935.00,941.86,941.86,1120400
23-05-2017,947.92,951.47,942.58,948.82,948.82,1270800
24-05-2017,952.98,955.09,949.50,954.96,954.96,1024800
25-05-2017,957.33,972.63,955.47,969.54,969.54,1660500
26-05-2017,969.70,974.98,965.03,971.47,971.47,1252000
30-05-2017,970.31,976.20,969.49,975.88,975.88,1466700
31-05-2017,975.02,979.27,960.18,964.86,964.86,2448100
01-06-2017,968.95,971.50,960.01,966.95,966.95,1410500
02-06-2017,969.46,975.88,966.00,975.60,975.60,1751000
05-06-2017,976.55,986.91,975.10,983.68,983.68,1252100
06-06-2017,983.16,988.25,975.14,976.57,976.57,1814600
07-06-2017,980.00,983.98,975.94,980.94,980.94,1453900
08-06-2017,982.35,984.57,977.20,983.41,983.41,1471500
09-06-2017,984.50,984.50,935.63,949.83,949.83,3309400
12-06-2017,939.56,949.35,915.23,942.90,942.90,3763500
13-06-2017,951.91,959.98,944.09,953.40,953.40,2013300
14-06-2017,959.92,961.15,942.25,950.76,950.76,1489700
15-06-2017,933.97,943.34,924.44,942.31,942.31,2133100
16-06-2017,940.00,942.04,931.59,939.78,939.78,3094700
19-06-2017,949.96,959.99,949.05,957.37,957.37,1533300
20-06-2017,957.52,961.62,950.01,950.63,950.63,1126000
21-06-2017,953.64,960.10,950.76,959.45,959.45,1202200
22-06-2017,958.70,960.72,954.55,957.09,957.09,941400
23-06-2017,956.83,966.00,954.20,965.59,965.59,1527900
26-06-2017,969.90,973.31,950.79,952.27,952.27,1598400
27-06-2017,942.46,948.29,926.85,927.33,927.33,2579900
28-06-2017,929.00,942.75,916.00,940.49,940.49,2721400
29-06-2017,929.92,931.26,910.62,917.79,917.79,3299200
30-06-2017,926.05,926.05,908.31,908.73,908.73,2090200
03-07-2017,912.18,913.94,894.79,898.70,898.70,1709800
05-07-2017,901.76,914.51,898.50,911.71,911.71,1813900
06-07-2017,904.12,914.94,899.70,906.69,906.69,1424500
07-07-2017,908.85,921.54,908.85,918.59,918.59,1637800
10-07-2017,921.77,930.38,919.59,928.80,928.80,1192800
11-07-2017,929.54,931.43,922.00,930.09,930.09,1113200
12-07-2017,938.68,946.30,934.47,943.83,943.83,1532100
13-07-2017,946.29,954.45,943.01,947.16,947.16,1294700
14-07-2017,952.00,956.91,948.01,955.99,955.99,1053800
17-07-2017,957.00,960.74,949.24,953.42,953.42,1165500
18-07-2017,953.00,968.04,950.60,965.40,965.40,1154000
19-07-2017,967.84,973.04,964.03,970.89,970.89,1224500
20-07-2017,975.00,975.90,961.51,968.15,968.15,1624500
21-07-2017,962.25,973.23,960.15,972.92,972.92,1711000
24-07-2017,972.22,986.20,970.77,980.34,980.34,3248300
25-07-2017,953.81,959.70,945.40,950.70,950.70,4661000
26-07-2017,954.68,955.00,942.28,947.80,947.80,2088300
27-07-2017,951.78,951.78,920.00,934.09,934.09,3213000
28-07-2017,929.40,943.83,927.50,941.53,941.53,1846400
31-07-2017,941.89,943.59,926.04,930.50,930.50,1970100
01-08-2017,932.38,937.45,929.26,930.83,930.83,1277700
02-08-2017,928.61,932.60,916.68,930.39,930.39,1824400
03-08-2017,930.34,932.24,922.24,923.65,923.65,1202500
04-08-2017,926.75,930.31,923.03,927.96,927.96,1082300
07-08-2017,929.06,931.70,926.50,929.36,929.36,1032200
08-08-2017,927.09,935.81,925.61,926.79,926.79,1061600
09-08-2017,920.61,925.98,917.25,922.90,922.90,1192100
10-08-2017,917.55,919.26,906.13,907.24,907.24,1824000
11-08-2017,907.97,917.78,905.58,914.39,914.39,1206800
14-08-2017,922.53,924.67,918.19,922.67,922.67,1064500
15-08-2017,924.23,926.55,919.82,922.22,922.22,883400
16-08-2017,925.29,932.70,923.45,926.96,926.96,1006700
17-08-2017,925.78,926.86,910.98,910.98,910.98,1277200
18-08-2017,910.31,915.28,907.15,910.67,910.67,1342700
21-08-2017,910.00,913.00,903.40,906.66,906.66,943400
22-08-2017,912.72,925.86,911.47,924.69,924.69,1166700
23-08-2017,921.93,929.93,919.36,927.00,927.00,1090200
24-08-2017,928.66,930.84,915.50,921.28,921.28,1270300
