Date,Open,High,Low,Close,Adj Close,Volume
14-03-2017,176.18,176.82,175.21,175.72,168.83,3147500
15-03-2017,175.71,176.28,174.75,175.81,168.92,3815500
16-03-2017,178.46,179.00,176.82,177.24,170.29,4311800
17-03-2017,176.29,176.79,175.65,175.65,168.77,5921000
20-03-2017,175.65,176.18,175.14,175.70,168.81,2476100
21-03-2017,176.01,176.23,173.84,173.88,167.07,3927700
22-03-2017,174.04,175.06,172.80,174.78,167.93,3450500
23-03-2017,174.43,175.67,173.56,174.82,167.97,3740000
24-03-2017,175.12,175.50,173.39,173.83,167.02,3221700
27-03-2017,172.69,174.16,172.09,173.77,166.96,3259000
28-03-2017,173.94,175.00,173.00,174.51,167.67,3523900
29-03-2017,174.30,174.49,173.46,173.94,167.12,3085600
30-03-2017,173.86,174.59,173.69,173.86,167.05,3168300
31-03-2017,173.98,174.95,173.69,174.14,167.32,2913700
03-04-2017,173.82,174.87,173.38,174.50,167.66,4286500
04-04-2017,173.52,174.96,173.26,174.52,167.68,3108900
05-04-2017,174.70,176.33,172.81,172.88,166.11,6238900
06-04-2017,173.47,173.47,172.25,172.45,165.69,3435400
07-04-2017,172.08,172.93,171.28,172.14,165.39,3588300
10-04-2017,172.53,172.56,171.00,171.20,164.49,3789900
11-04-2017,170.65,171.23,168.98,170.58,163.90,4891900
12-04-2017,171.04,171.20,170.02,170.66,163.97,3276900
13-04-2017,169.92,171.36,169.53,169.53,162.89,3205500
17-04-2017,169.75,171.30,169.62,171.10,164.40,3720200
18-04-2017,170.79,171.69,169.83,170.05,163.39,6345500
19-04-2017,161.76,162.64,159.60,161.69,155.35,19284300
20-04-2017,161.32,162.40,160.50,162.30,155.94,6486800
21-04-2017,162.05,162.11,160.38,160.38,154.10,5607800
24-04-2017,161.29,161.57,160.42,160.75,154.45,5320600
25-04-2017,161.78,162.04,160.38,160.39,154.10,4860400
26-04-2017,160.53,161.10,159.89,160.06,153.79,4327800
27-04-2017,160.29,160.48,159.63,160.32,154.04,4122600
28-04-2017,160.50,160.59,159.70,160.29,154.01,4154100
01-05-2017,160.05,160.42,158.70,158.84,152.62,4935300
02-05-2017,159.44,159.49,158.64,159.10,152.87,3208200
03-05-2017,158.74,159.45,158.52,158.63,152.41,3993300
04-05-2017,158.89,159.14,158.36,159.05,152.82,4280600
05-05-2017,153.52,155.78,153.00,155.05,148.97,12521300
